name,eco,fen,moves
Bishop's Opening: Lopez Variation,C23,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/8/PPPPQPPP/RNB1K1NR b KQkq,  e4 e5   Bc4 Bc5   Qe2
Bishop's Opening: McDonnell Gambit,C23,rnbqk1nr/pppp1ppp/8/2b1p3/1PB1P3/8/P1PP1PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 Bc5   b4
Bishop's Opening: Philidor Counterattack,C23,rnbqkbnr/pp1p1ppp/2p5/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 c6
Bishop's Opening: Philidor Variation,C23,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/2P5/PP1P1PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 Bc5   c3
Bishop's Opening: Ponziani Gambit,C24,rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 Nf6   d4
Bishop's Opening: Stein Gambit,C23,rnbqk1nr/pppp1ppp/8/2b1p3/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq,  e4 e5   Bc4 Bc5   f4
Blackmar-Diemer Gambit,D00,rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq,  d4 d5   e4
Blackmar-Diemer Gambit: Diemer-Rosenberg Attack,D00,rnbqkbnr/ppp1pppp/8/8/3Pp3/4B3/PPP2PPP/RN1QKBNR b KQkq,  d4 d5   e4 dxe4   Be3
Blackmar-Diemer Gambit: Fritz Attack,D00,rnbqkbnr/ppp1pppp/8/8/2BPp3/8/PPP2PPP/RNBQK1NR b KQkq,  d4 d5   e4 dxe4   Bc4
Blackmar-Diemer Gambit: Gedult Gambit,D00,rnbqkbnr/ppp1pppp/8/8/3Pp3/5P2/PPP3PP/RNBQKBNR b KQkq,  d4 d5   e4 dxe4   f3
"Blackmar-Diemer, Lemberger Countergambit",D00,rnbqkb1r/ppp2ppp/5n2/3pp3/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  d4 d5   Nc3 Nf6   e4 e5
